v1,v2,v3,v4,v5,v6_1,v6_2,v6_3,v6_4,v6_5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31_1,v31_2,v31_3,v32_1,v32_2,v32_3,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,wei,wei2,area1,area2,area3,area4,area5,area6,area7
14,900,50,7,1,1,2,3,99,99,1,1,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,97,2,1,2,2,2,2,1,99,99,7,1,99,98,10,5,99,4,7,23,99,999,99,99,3,1,.8543,.7359007908,3,3,2,3,2,1,2
17,950,40,8,1,1,99,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,99,99,2,1,99,3,8,1,99,4,4,23,99,999,99,99,3,1,.2944,.0668008382,3,4,2,2,2,1,5
4,420,34,8,1,1,2,3,99,99,1,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,1,99,99,6,1,99,3,7,7,99,4,3,23,99,999,99,99,3,1,.8263,1.5011008723,1,0,2,3,1,1,3
21,893,35,8,1,1,4,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,98,98,99,4,5,23,99,999,99,99,3,1,.285,.0453009031,4,5,2,3,3,9,8
18,200,39,8,1,1,2,3,4,99,1,1,2,1,1,2,2,2,1,2,2,1,1,2,1,1,2,97,1,1,1,2,2,2,1,99,99,2,1,99,3,10,5,99,4,5,23,99,999,99,99,4,1,.5888,.2325009986,2,1,2,3,3,9,2
17,958,46,8,1,1,99,99,99,99,1,4,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,99,99,2,1,99,3,7,7,99,1,5,23,99,999,99,99,1,1,.2944,.0668010814,5,4,4,2,1,2,5
7,260,34,8,1,1,2,99,99,99,1,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,97,2,2,1,2,2,2,1,99,99,2,1,99,3,8,8,99,4,3,23,99,999,99,99,3,2,.4613,.2230010883,3,1,1,3,3,9,2
7,265,54,6,1,1,99,99,99,99,1,1,2,1,1,2,2,2,2,1,2,1,1,2,1,1,1,97,2,1,1,2,1,2,1,99,99,2,1,99,2,7,7,99,4,7,23,99,999,99,99,1,2,.8138,.3935011429,4,1,1,3,3,9,2
7,260,45,8,1,1,2,3,99,99,1,2,2,1,1,2,2,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,10,6,99,4,4,23,99,999,99,99,3,1,.5247,.2537012126,3,1,1,3,3,9,2
16,976,998,8,1,98,99,99,99,99,1,4,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,97,2,2,2,2,2,2,1,99,99,10,1,99,3,6,3,99,4,4,23,99,999,99,99,3,1,.5447,.1838012151,5,4,3,2,1,1,5
2,108,45,8,1,1,99,99,99,99,1,2,2,2,2,2,2,1,2,2,2,1,1,2,1,2,2,97,2,1,1,2,2,2,1,99,99,6,1,99,3,6,5,99,1,6,23,99,999,99,99,3,1,.5005,.8048012864,1,0,2,3,3,9,1
6,813,66,5,1,1,4,99,99,99,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,97,99,99,6,1,99,3,8,8,99,4,5,98,99,999,99,99,3,2,1.3323,2.3595001466,1,0,1,3,3,9,2
12,640,49,7,1,1,3,99,99,99,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,1,2,1,2,1,99,99,6,1,99,1,98,7,99,1,3,1,7,0,98,2,3,2,.6365,.4541000214,3,2,2,3,3,9,3
17,955,50,7,1,1,99,99,99,99,1,4,2,2,1,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,2,2,2,2,1,99,99,6,1,99,2,8,5,99,2,4,1,7,0,2,2,3,1,.7369,.167100206,5,4,4,2,1,2,5
11,553,62,6,1,1,2,3,5,99,1,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,2,1,2,1,99,99,2,1,99,3,7,5,99,2,3,1,7,0,3,2,5,2,.7602,.3917006582,5,2,4,3,1,1,5
12,648,38,8,1,1,2,3,99,99,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,6,3,99,4,3,1,7,0,3,2,3,1,.6704,.4783008477,4,2,3,3,3,9,5
7,270,998,8,1,1,99,99,99,99,1,5,2,2,2,2,98,2,2,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,10,3,8,3,99,4,3,1,7,0,2,2,3,1,.5247,.2537012153,4,1,3,3,3,9,3
9,350,52,7,1,1,2,3,99,99,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,6,3,99,4,5,3,9,0,3,2,3,1,.806,.4587000558,4,2,1,3,1,2,3
14,908,52,7,1,1,4,99,99,99,1,2,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,99,99,6,1,99,3,8,7,99,4,4,3,9,0,3,2,1,2,.6667,.5743000728,5,3,3,3,1,2,5
13,608,46,8,1,1,99,99,99,99,1,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,9,1,99,4,5,3,8,0,2,2,3,1,.5704,.3024003384,5,3,3,3,3,9,3
9,351,60,6,1,1,2,3,99,99,1,1,2,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,2,2,2,1,2,99,3,1,99,2,8,5,99,4,5,3,10,0,2,2,1,2,.7095,.4038005493,4,2,1,3,1,4,4
13,622,53,7,1,1,99,99,99,99,1,1,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,1,99,99,2,1,99,3,6,98,99,4,4,3,4,0,2,1,3,2,.7222,.3829009348,4,3,3,3,3,9,6
5,717,49,7,1,2,3,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,6,6,99,4,5,3,9,0,1,2,3,1,.9117,1.0943011211,1,0,2,3,3,9,3
1,237,998,7,1,1,99,99,99,99,1,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,10,3,99,4,4,3,4,0,2,1,3,2,1.3086,3.4283011399,1,0,1,3,3,9,3
9,358,62,6,1,1,4,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,3,10,10,99,4,5,6,8,0,4,2,3,1,.7966,.4533005245,4,2,3,3,1,1,4
21,893,40,8,1,1,99,99,99,99,1,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,1,2,1,99,99,6,1,99,3,9,4,99,4,4,6,8,0,3,2,3,1,.285,.0453007068,4,5,2,3,3,9,8
14,900,50,7,1,1,2,3,4,99,1,2,2,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,2,1,1,2,2,2,1,99,99,2,1,99,3,7,6,99,4,5,7,2,0,4,1,3,1,.8543,.7359000546,3,3,2,3,2,1,2
16,981,68,5,1,1,2,3,99,99,1,1,2,1,2,2,2,2,1,2,2,1,2,2,1,1,2,2,2,1,2,2,2,2,1,99,99,2,1,99,2,7,6,99,4,5,7,2,0,4,2,3,1,.8956,.3022005703,4,4,3,2,1,2,5
16,973,51,7,1,1,99,99,99,99,1,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,1,99,99,6,1,99,1,9,8,99,4,5,7,6,0,3,2,3,2,.5966,.2013010573,5,4,2,2,1,2,2
